k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.69931646,,,,
0,1,1,0.70182967,,,,
0,2,1,0.69845009,,,,
0,3,1,0.70223971,,,,
0,4,1,0.69906640,,,,
0,5,1,0.69790813,,,,
0,6,1,0.69832900,,,,
0,7,1,0.69767941,,,,
1,0,1,0.79433438,,,,
1,1,1,0.79426928,,,,
1,2,1,0.79066633,,,,
1,3,1,0.79424894,,,,
1,4,1,0.79526075,,,,
1,5,1,0.79589909,,,,
1,6,1,0.79657885,,,,
1,7,1,0.78640729,,,,
2,0,1,0.66381731,,,,
2,1,1,0.67119791,,,,
2,2,1,0.66957024,,,,
2,3,1,0.66489824,,,,
2,4,1,0.66932888,,,,
2,5,1,0.66777314,,,,
2,6,1,0.66662150,,,,
2,7,1,0.66336132,,,,
3,0,1,0.64484949,,,,
3,1,1,0.64565763,,,,
3,2,1,0.64167917,,,,
3,3,1,0.64890797,,,,
3,4,1,0.63780215,,,,
3,5,1,0.63525105,,,,
3,6,1,0.64323128,,,,
3,7,1,0.64333713,,,,
4,0,1,0.00000000,,,,
4,1,1,0.00000000,,,,
4,2,1,0.00000000,,,,
4,3,1,0.00000000,,,,
4,4,1,0.00000000,,,,
4,5,1,0.00000000,,,,
4,6,1,0.00000000,,,,
4,7,1,0.00000000,,,,
5,0,1,0.00000000,,,,
5,1,1,0.00000000,,,,
5,2,1,0.00000000,,,,
5,3,1,0.00000000,,,,
5,4,1,0.00000000,,,,
5,5,1,0.00000000,,,,
5,6,1,0.00000000,,,,
5,7,1,0.00000000,,,,
6,0,1,0.00000000,,,,
6,1,1,0.00000000,,,,
6,2,1,0.00000000,,,,
6,3,1,0.00000000,,,,
6,4,1,0.00000000,,,,
6,5,1,0.00000000,,,,
6,6,1,0.00000000,,,,
6,7,1,0.00000000,,,,
7,0,1,0.65966524,,,,
7,1,1,0.66225780,,,,
7,2,1,0.64859539,,,,
7,3,1,0.65781536,,,,
7,4,1,0.65837489,,,,
7,5,1,0.65537769,,,,
7,6,1,0.65825209,,,,
7,7,1,0.65443445,,,,
