k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.80662225,,,,
0,1,1,0.80884423,,,,
0,2,1,0.80638353,,,,
0,3,1,0.80632551,,,,
0,4,1,0.80593370,,,,
0,5,1,0.80875871,,,,
0,6,1,0.80614018,,,,
0,7,1,0.80905731,,,,
1,0,1,0.65946328,,,,
1,1,1,0.66772341,,,,
1,2,1,0.66972725,,,,
1,3,1,0.66594488,,,,
1,4,1,0.67004760,,,,
1,5,1,0.66767021,,,,
1,6,1,0.66782773,,,,
1,7,1,0.66889310,,,,
2,0,1,0.71799419,,,,
2,1,1,0.71854147,,,,
2,2,1,0.72015022,,,,
2,3,1,0.71705200,,,,
2,4,1,0.72123708,,,,
2,5,1,0.71297492,,,,
2,6,1,0.71253921,,,,
2,7,1,0.71936116,,,,
3,0,1,0.70028920,,,,
3,1,1,0.69986509,,,,
3,2,1,0.69448412,,,,
3,3,1,0.69729023,,,,
3,4,1,0.68825879,,,,
3,5,1,0.69804749,,,,
3,6,1,0.68870562,,,,
3,7,1,0.69471618,,,,
4,0,1,0.78710662,,,,
4,1,1,0.79573656,,,,
4,2,1,0.80413526,,,,
4,3,1,0.79568756,,,,
4,4,1,0.80426376,,,,
4,5,1,0.80543851,,,,
4,6,1,0.78462561,,,,
4,7,1,0.79648368,,,,
5,0,1,0.76152288,,,,
5,1,1,0.76232740,,,,
5,2,1,0.75942867,,,,
5,3,1,0.76320428,,,,
5,4,1,0.75619608,,,,
5,5,1,0.76367118,,,,
5,6,1,0.75773720,,,,
5,7,1,0.76594756,,,,
6,0,1,0.74789716,,,,
6,1,1,0.75160947,,,,
6,2,1,0.74391263,,,,
6,3,1,0.74648243,,,,
6,4,1,0.73997391,,,,
6,5,1,0.74917433,,,,
6,6,1,0.75071887,,,,
6,7,1,0.74207917,,,,
7,0,1,0.60450473,,,,
7,1,1,0.61887842,,,,
7,2,1,0.60873143,,,,
7,3,1,0.62287721,,,,
7,4,1,0.61253077,,,,
7,5,1,0.62168507,,,,
7,6,1,0.60335882,,,,
7,7,1,0.60926821,,,,
