k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.71298629,,,,
0,1,1,0.70247160,,,,
0,2,1,0.70837077,,,,
0,3,1,0.70894240,,,,
0,4,1,0.70694602,,,,
0,5,1,0.70982972,,,,
0,6,1,0.70709715,,,,
0,7,1,0.70946521,,,,
1,0,1,0.57402372,,,,
1,1,1,0.57583901,,,,
1,2,1,0.57740278,,,,
1,3,1,0.57362194,,,,
1,4,1,0.57990476,,,,
1,5,1,0.56669390,,,,
1,6,1,0.57638435,,,,
1,7,1,0.57373283,,,,
2,0,1,0.67627342,,,,
2,1,1,0.67513281,,,,
2,2,1,0.67859610,,,,
2,3,1,0.67916504,,,,
2,4,1,0.66626273,,,,
2,5,1,0.68137946,,,,
2,6,1,0.67160708,,,,
2,7,1,0.68168185,,,,
3,0,1,0.71578040,,,,
3,1,1,0.71661779,,,,
3,2,1,0.71896539,,,,
3,3,1,0.70979194,,,,
3,4,1,0.71541023,,,,
3,5,1,0.71248898,,,,
3,6,1,0.71959992,,,,
3,7,1,0.71516164,,,,
4,0,1,0.73424353,,,,
4,1,1,0.74547647,,,,
4,2,1,0.73196062,,,,
4,3,1,0.73921458,,,,
4,4,1,0.74200783,,,,
4,5,1,0.74315151,,,,
4,6,1,0.74147408,,,,
4,7,1,0.74091201,,,,
5,0,1,0.71606765,,,,
5,1,1,0.72577188,,,,
5,2,1,0.73337646,,,,
5,3,1,0.73055008,,,,
5,4,1,0.73126384,,,,
5,5,1,0.72645734,,,,
5,6,1,0.73859450,,,,
5,7,1,0.73971808,,,,
6,0,1,0.31864337,,,,
6,1,1,0.32429029,,,,
6,2,1,0.31430253,,,,
6,3,1,0.31443769,,,,
6,4,1,0.31938361,,,,
6,5,1,0.31860369,,,,
6,6,1,0.32361279,,,,
6,7,1,0.32080284,,,,
7,0,1,0.68395426,,,,
7,1,1,0.68106145,,,,
7,2,1,0.68459057,,,,
7,3,1,0.68689564,,,,
7,4,1,0.68137264,,,,
7,5,1,0.67831215,,,,
7,6,1,0.66571437,,,,
7,7,1,0.68208874,,,,
