k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.67759897,,,,
0,1,1,0.68290597,,,,
0,2,1,0.68529870,,,,
0,3,1,0.67965458,,,,
0,4,1,0.68316556,,,,
0,5,1,0.67771173,,,,
0,6,1,0.67885230,,,,
0,7,1,0.67810641,,,,
1,0,1,0.70956525,,,,
1,1,1,0.71236935,,,,
1,2,1,0.71151562,,,,
1,3,1,0.71192552,,,,
1,4,1,0.71470641,,,,
1,5,1,0.70575282,,,,
1,6,1,0.70886025,,,,
1,7,1,0.70905789,,,,
2,0,1,0.48596711,,,,
2,1,1,0.48744243,,,,
2,2,1,0.48815933,,,,
2,3,1,0.48994439,,,,
2,4,1,0.49561798,,,,
2,5,1,0.48894396,,,,
2,6,1,0.49314346,,,,
2,7,1,0.48357970,,,,
3,0,1,0.53547214,,,,
3,1,1,0.54423177,,,,
3,2,1,0.53811111,,,,
3,3,1,0.53307070,,,,
3,4,1,0.54286072,,,,
3,5,1,0.53549655,,,,
3,6,1,0.53003537,,,,
3,7,1,0.53379549,,,,
4,0,1,0.69136151,,,,
4,1,1,0.69564783,,,,
4,2,1,0.69436237,,,,
4,3,1,0.69565956,,,,
4,4,1,0.69560906,,,,
4,5,1,0.69282345,,,,
4,6,1,0.69065265,,,,
4,7,1,0.69316561,,,,
5,0,1,0.47547908,,,,
5,1,1,0.47542526,,,,
5,2,1,0.47638974,,,,
5,3,1,0.48428329,,,,
5,4,1,0.48340765,,,,
5,5,1,0.48398002,,,,
5,6,1,0.48354946,,,,
5,7,1,0.48438461,,,,
6,0,1,0.68360334,,,,
6,1,1,0.69274996,,,,
6,2,1,0.68676505,,,,
6,3,1,0.69594716,,,,
6,4,1,0.69967343,,,,
6,5,1,0.69302259,,,,
6,6,1,0.69316425,,,,
6,7,1,0.68599679,,,,
7,0,1,0.58067973,,,,
7,1,1,0.58021256,,,,
7,2,1,0.58257660,,,,
7,3,1,0.57942724,,,,
7,4,1,0.58145701,,,,
7,5,1,0.58392978,,,,
7,6,1,0.57813044,,,,
7,7,1,0.57588320,,,,
