k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.46735361,,,,
0,1,1,0.46747144,,,,
0,2,1,0.46720927,,,,
0,3,1,0.47640830,,,,
0,4,1,0.46778231,,,,
0,5,1,0.47239290,,,,
0,6,1,0.46794520,,,,
0,7,1,0.46755680,,,,
1,0,1,0.69926437,,,,
1,1,1,0.70468037,,,,
1,2,1,0.69417352,,,,
1,3,1,0.70129760,,,,
1,4,1,0.69165339,,,,
1,5,1,0.70184472,,,,
1,6,1,0.69916736,,,,
1,7,1,0.69810699,,,,
2,0,1,0.12090598,,,,
2,1,1,0.12431900,,,,
2,2,1,0.11417016,,,,
2,3,1,0.11113302,,,,
2,4,1,0.12015422,,,,
2,5,1,0.13048348,,,,
2,6,1,0.11910174,,,,
2,7,1,0.12834847,,,,
3,0,0,,dag_validation_failed,dag_validation_failed,Node 4: child '5' does not exist; Node 7: parent '5' does not exist; Node 8: parent '5' does not exist; Node 9: parent '5' does not exist; Node 10: parent '5' does not exist; Node 11: parent '5' does not exist; Node 12: parent '5' does not exist,
3,1,0,,dag_validation_failed,dag_validation_failed,Node 4: child '5' does not exist; Node 7: parent '5' does not exist; Node 8: parent '5' does not exist; Node 9: parent '5' does not exist; Node 10: parent '5' does not exist; Node 11: parent '5' does not exist; Node 12: parent '5' does not exist,
3,2,0,,dag_validation_failed,dag_validation_failed,Node 4: child '5' does not exist; Node 7: parent '5' does not exist; Node 8: parent '5' does not exist; Node 9: parent '5' does not exist; Node 10: parent '5' does not exist; Node 11: parent '5' does not exist; Node 12: parent '5' does not exist,
3,3,0,,dag_validation_failed,dag_validation_failed,Node 4: child '5' does not exist; Node 7: parent '5' does not exist; Node 8: parent '5' does not exist; Node 9: parent '5' does not exist; Node 10: parent '5' does not exist; Node 11: parent '5' does not exist; Node 12: parent '5' does not exist,
3,4,0,,dag_validation_failed,dag_validation_failed,Node 4: child '5' does not exist; Node 7: parent '5' does not exist; Node 8: parent '5' does not exist; Node 9: parent '5' does not exist; Node 10: parent '5' does not exist; Node 11: parent '5' does not exist; Node 12: parent '5' does not exist,
3,5,0,,dag_validation_failed,dag_validation_failed,Node 4: child '5' does not exist; Node 7: parent '5' does not exist; Node 8: parent '5' does not exist; Node 9: parent '5' does not exist; Node 10: parent '5' does not exist; Node 11: parent '5' does not exist; Node 12: parent '5' does not exist,
3,6,0,,dag_validation_failed,dag_validation_failed,Node 4: child '5' does not exist; Node 7: parent '5' does not exist; Node 8: parent '5' does not exist; Node 9: parent '5' does not exist; Node 10: parent '5' does not exist; Node 11: parent '5' does not exist; Node 12: parent '5' does not exist,
3,7,0,,dag_validation_failed,dag_validation_failed,Node 4: child '5' does not exist; Node 7: parent '5' does not exist; Node 8: parent '5' does not exist; Node 9: parent '5' does not exist; Node 10: parent '5' does not exist; Node 11: parent '5' does not exist; Node 12: parent '5' does not exist,
4,0,1,0.37256957,,,,
4,1,1,0.37355513,,,,
4,2,1,0.37814218,,,,
4,3,1,0.38368827,,,,
4,4,1,0.37739512,,,,
4,5,1,0.38015850,,,,
4,6,1,0.37602373,,,,
4,7,1,0.37344243,,,,
5,0,1,0.26659561,,,,
5,1,1,0.26816263,,,,
5,2,1,0.26922892,,,,
5,3,1,0.26826528,,,,
5,4,1,0.27236692,,,,
5,5,1,0.27527548,,,,
5,6,1,0.26938180,,,,
5,7,1,0.27143939,,,,
6,0,1,0.75145600,,,,
6,1,1,0.75059353,,,,
6,2,1,0.75043986,,,,
6,3,1,0.74360294,,,,
6,4,1,0.74786478,,,,
6,5,1,0.74884923,,,,
6,6,1,0.74652081,,,,
6,7,1,0.75031343,,,,
7,0,1,0.64707658,,,,
7,1,1,0.64646418,,,,
7,2,1,0.64698885,,,,
7,3,1,0.64954545,,,,
7,4,1,0.64571787,,,,
7,5,1,0.64604500,,,,
7,6,1,0.64644386,,,,
7,7,1,0.64331319,,,,
