k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.48154546,,,,
0,1,1,0.47367698,,,,
0,2,1,0.47781549,,,,
0,3,1,0.48729664,,,,
0,4,1,0.48130693,,,,
0,5,1,0.48110948,,,,
0,6,1,0.48313558,,,,
0,7,1,0.48669309,,,,
1,0,1,0.44213531,,,,
1,1,1,0.44892141,,,,
1,2,1,0.45608338,,,,
1,3,1,0.45166543,,,,
1,4,1,0.45125067,,,,
1,5,1,0.44901390,,,,
1,6,1,0.45637587,,,,
1,7,1,0.46268419,,,,
2,0,1,0.69844564,,,,
2,1,1,0.69733412,,,,
2,2,1,0.69372118,,,,
2,3,1,0.69325665,,,,
2,4,1,0.69500408,,,,
2,5,1,0.70215941,,,,
2,6,1,0.69165962,,,,
2,7,1,0.70334159,,,,
3,0,1,0.69676573,,,,
3,1,1,0.69913716,,,,
3,2,1,0.69200542,,,,
3,3,1,0.69978993,,,,
3,4,1,0.69123507,,,,
3,5,1,0.70676425,,,,
3,6,1,0.68698231,,,,
3,7,1,0.69285052,,,,
4,0,1,0.36282388,,,,
4,1,1,0.36487214,,,,
4,2,1,0.36449142,,,,
4,3,1,0.35634563,,,,
4,4,1,0.36527492,,,,
4,5,1,0.35810238,,,,
4,6,1,0.36739325,,,,
4,7,1,0.37280376,,,,
5,0,1,0.56075736,,,,
5,1,1,0.55694360,,,,
5,2,1,0.55852259,,,,
5,3,1,0.55080525,,,,
5,4,1,0.55611331,,,,
5,5,1,0.56317646,,,,
5,6,1,0.55345739,,,,
5,7,1,0.55497963,,,,
6,0,1,0.31552886,,,,
6,1,1,0.31809426,,,,
6,2,1,0.31248421,,,,
6,3,1,0.32060328,,,,
6,4,1,0.32116711,,,,
6,5,1,0.32043413,,,,
6,6,1,0.32020297,,,,
6,7,1,0.32144902,,,,
7,0,1,0.46534278,,,,
7,1,1,0.46429658,,,,
7,2,1,0.46342265,,,,
7,3,1,0.46993507,,,,
7,4,1,0.47228265,,,,
7,5,1,0.46165600,,,,
7,6,1,0.46981193,,,,
7,7,1,0.46588406,,,,
