k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.19821828,,,,
0,1,1,0.19765703,,,,
0,2,1,0.19640840,,,,
0,3,1,0.19641498,,,,
0,4,1,0.19251425,,,,
0,5,1,0.19740543,,,,
0,6,1,0.19518302,,,,
0,7,1,0.19907786,,,,
1,0,1,0.68114940,,,,
1,1,1,0.67160896,,,,
1,2,1,0.67544688,,,,
1,3,1,0.66871623,,,,
1,4,1,0.67096764,,,,
1,5,1,0.66475810,,,,
1,6,1,0.67434681,,,,
1,7,1,0.67388893,,,,
2,0,1,0.12461242,,,,
2,1,1,0.12622120,,,,
2,2,1,0.11551605,,,,
2,3,1,0.12393583,,,,
2,4,1,0.12754431,,,,
2,5,1,0.12168053,,,,
2,6,1,0.12694289,,,,
2,7,1,0.12734885,,,,
3,0,1,0.37789606,,,,
3,1,1,0.38667810,,,,
3,2,1,0.37729230,,,,
3,3,1,0.37928495,,,,
3,4,1,0.39003897,,,,
3,5,1,0.37728760,,,,
3,6,1,0.37878221,,,,
3,7,1,0.37670114,,,,
4,0,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation',
4,1,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation',
4,2,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation',
4,3,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation',
4,4,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation',
4,5,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation',
4,6,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation',
4,7,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation',
5,0,1,0.35356978,,,,
5,1,1,0.35316970,,,,
5,2,1,0.35986307,,,,
5,3,1,0.35237568,,,,
5,4,1,0.35681352,,,,
5,5,1,0.35346037,,,,
5,6,1,0.36501816,,,,
5,7,1,0.37012843,,,,
6,0,1,0.21835927,,,,
6,1,1,0.21364851,,,,
6,2,1,0.22091152,,,,
6,3,1,0.22093031,,,,
6,4,1,0.21845888,,,,
6,5,1,0.20952696,,,,
6,6,1,0.21915050,,,,
6,7,1,0.21783867,,,,
7,0,1,0.61216363,,,,
7,1,1,0.61941573,,,,
7,2,1,0.61395070,,,,
7,3,1,0.61152516,,,,
7,4,1,0.60539754,,,,
7,5,1,0.60639507,,,,
7,6,1,0.60772203,,,,
7,7,1,0.61306098,,,,
