k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.11723959,,,,
0,1,1,0.12468208,,,,
0,2,1,0.12009630,,,,
0,3,1,0.12618561,,,,
0,4,1,0.12543384,,,,
0,5,1,0.12502789,,,,
0,6,1,0.12405059,,,,
0,7,1,0.12235160,,,,
1,0,1,0.61645772,,,,
1,1,1,0.61313337,,,,
1,2,1,0.61180868,,,,
1,3,1,0.60853791,,,,
1,4,1,0.61277692,,,,
1,5,1,0.62029032,,,,
1,6,1,0.61754761,,,,
1,7,1,0.61439671,,,,
2,0,1,0.42154664,,,,
2,1,1,0.41388976,,,,
2,2,1,0.40683911,,,,
2,3,1,0.42003181,,,,
2,4,1,0.41233405,,,,
2,5,1,0.40872274,,,,
2,6,1,0.41331007,,,,
2,7,1,0.40838630,,,,
3,0,1,0.68295708,,,,
3,1,1,0.69366288,,,,
3,2,1,0.69047303,,,,
3,3,1,0.68380842,,,,
3,4,1,0.68890443,,,,
3,5,1,0.69484609,,,,
3,6,1,0.69001165,,,,
3,7,1,0.68536441,,,,
4,0,1,0.74746181,,,,
4,1,1,0.74505053,,,,
4,2,1,0.74791533,,,,
4,3,1,0.74938735,,,,
4,4,1,0.74838216,,,,
4,5,1,0.74600310,,,,
4,6,1,0.74453359,,,,
4,7,1,0.74933057,,,,
5,0,1,0.71923654,,,,
5,1,1,0.71918850,,,,
5,2,1,0.72138056,,,,
5,3,1,0.72052026,,,,
5,4,1,0.71957945,,,,
5,5,1,0.72000669,,,,
5,6,1,0.71637405,,,,
5,7,1,0.71784411,,,,
6,0,1,0.74361086,,,,
6,1,1,0.74877375,,,,
6,2,1,0.75500676,,,,
6,3,1,0.74728678,,,,
6,4,1,0.75050495,,,,
6,5,1,0.74821049,,,,
6,6,1,0.75456250,,,,
6,7,1,0.74880783,,,,
7,0,1,0.39637224,,,,
7,1,1,0.39229707,,,,
7,2,1,0.39016900,,,,
7,3,1,0.39525262,,,,
7,4,1,0.38943323,,,,
7,5,1,0.39214445,,,,
7,6,1,0.39012004,,,,
7,7,1,0.38754703,,,,
