k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.71939754,,,,
0,1,1,0.70793532,,,,
0,2,1,0.70212352,,,,
0,3,1,0.71416493,,,,
0,4,1,0.71093188,,,,
0,5,1,0.71268626,,,,
0,6,1,0.70417703,,,,
0,7,1,0.70512918,,,,
1,0,1,0.41199247,,,,
1,1,1,0.41720597,,,,
1,2,1,0.41429169,,,,
1,3,1,0.41659433,,,,
1,4,1,0.41672006,,,,
1,5,1,0.42068383,,,,
1,6,1,0.41320978,,,,
1,7,1,0.41865320,,,,
2,0,1,0.60626842,,,,
2,1,1,0.60985583,,,,
2,2,1,0.61567188,,,,
2,3,1,0.60541238,,,,
2,4,1,0.60606747,,,,
2,5,1,0.60818094,,,,
2,6,1,0.60717531,,,,
2,7,1,0.60687137,,,,
3,0,1,0.36338240,,,,
3,1,1,0.35333080,,,,
3,2,1,0.36598994,,,,
3,3,1,0.36035128,,,,
3,4,1,0.35586287,,,,
3,5,1,0.35754416,,,,
3,6,1,0.35925992,,,,
3,7,1,0.35994440,,,,
4,0,1,0.68557115,,,,
4,1,1,0.68687220,,,,
4,2,1,0.69125013,,,,
4,3,1,0.68891438,,,,
4,4,1,0.69500202,,,,
4,5,1,0.69000714,,,,
4,6,1,0.68512968,,,,
4,7,1,0.68474902,,,,
5,0,1,0.49694229,,,,
5,1,1,0.49710606,,,,
5,2,1,0.49632719,,,,
5,3,1,0.49084848,,,,
5,4,1,0.49055209,,,,
5,5,1,0.49407783,,,,
5,6,1,0.50111873,,,,
5,7,1,0.49616916,,,,
6,0,1,0.11513319,,,,
6,1,1,0.12468062,,,,
6,2,1,0.11427618,,,,
6,3,1,0.11517830,,,,
6,4,1,0.11961372,,,,
6,5,1,0.11427618,,,,
6,6,1,0.11920776,,,,
6,7,1,0.11743359,,,,
7,0,1,0.71888811,,,,
7,1,1,0.71787378,,,,
7,2,1,0.71994838,,,,
7,3,1,0.71340292,,,,
7,4,1,0.72134363,,,,
7,5,1,0.71849475,,,,
7,6,1,0.72237368,,,,
7,7,1,0.71854403,,,,
