k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.12371311,,,,
0,1,1,0.11333873,,,,
0,2,1,0.12326205,,,,
0,3,1,0.12987759,,,,
0,4,1,0.12251028,,,,
0,5,1,0.11837557,,,,
0,6,1,0.12762229,,,,
0,7,1,0.12947164,,,,
1,0,1,0.59593233,,,,
1,1,1,0.58783598,,,,
1,2,1,0.59243086,,,,
1,3,1,0.59995202,,,,
1,4,1,0.59576292,,,,
1,5,1,0.59464711,,,,
1,6,1,0.59849636,,,,
1,7,1,0.59277831,,,,
2,0,1,0.27517090,,,,
2,1,1,0.27477104,,,,
2,2,1,0.28131781,,,,
2,3,1,0.27646805,,,,
2,4,1,0.27545779,,,,
2,5,1,0.27250801,,,,
2,6,1,0.27341689,,,,
2,7,1,0.28037230,,,,
3,0,1,0.12058864,,,,
3,1,1,0.11483011,,,,
3,2,1,0.11167269,,,,
3,3,1,0.11688995,,,,
3,4,1,0.11264999,,,,
3,5,1,0.11107128,,,,
3,6,1,0.11873929,,,,
3,7,1,0.12024283,,,,
4,0,1,0.33960781,,,,
4,1,1,0.34248163,,,,
4,2,1,0.34061908,,,,
4,3,1,0.34047139,,,,
4,4,1,0.34479035,,,,
4,5,1,0.34143142,,,,
4,6,1,0.34409292,,,,
4,7,1,0.33912856,,,,
5,0,1,0.19150786,,,,
5,1,1,0.19596677,,,,
5,2,1,0.18564408,,,,
5,3,1,0.18961435,,,,
5,4,1,0.18924786,,,,
5,5,1,0.19446418,,,,
5,6,1,0.18961435,,,,
5,7,1,0.18796516,,,,
6,0,1,0.38770914,,,,
6,1,1,0.38045294,,,,
6,2,1,0.38221911,,,,
6,3,1,0.38901636,,,,
6,4,1,0.38005072,,,,
6,5,1,0.38741865,,,,
6,6,1,0.38468909,,,,
6,7,1,0.38414000,,,,
7,0,1,0.68260127,,,,
7,1,1,0.69299964,,,,
7,2,1,0.69069169,,,,
7,3,1,0.68706091,,,,
7,4,1,0.69160609,,,,
7,5,1,0.68371459,,,,
7,6,1,0.69095876,,,,
7,7,1,0.68573777,,,,
