k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.00000000,,,,
0,1,1,0.00000000,,,,
0,2,1,0.00000000,,,,
0,3,1,0.00000000,,,,
0,4,1,0.00000000,,,,
0,5,1,0.00000000,,,,
0,6,1,0.00000000,,,,
0,7,1,0.00000000,,,,
1,0,1,0.00000000,,,,
1,1,1,0.00000000,,,,
1,2,1,0.00000000,,,,
1,3,1,0.00000000,,,,
1,4,1,0.00000000,,,,
1,5,1,0.00000000,,,,
1,6,1,0.00000000,,,,
1,7,1,0.00000000,,,,
2,0,1,0.00000000,,,,
2,1,1,0.00000000,,,,
2,2,1,0.00000000,,,,
2,3,1,0.00000000,,,,
2,4,1,0.00000000,,,,
2,5,1,0.00000000,,,,
2,6,1,0.00000000,,,,
2,7,1,0.00000000,,,,
3,0,1,0.00000000,,,,
3,1,1,0.00000000,,,,
3,2,1,0.00000000,,,,
3,3,1,0.00000000,,,,
3,4,1,0.00000000,,,,
3,5,1,0.00000000,,,,
3,6,1,0.00000000,,,,
3,7,1,0.00000000,,,,
4,0,1,0.13364857,,,,
4,1,1,0.12476269,,,,
4,2,1,0.12853656,,,,
4,3,1,0.12661204,,,,
4,4,1,0.12563474,,,,
4,5,1,0.13630982,,,,
4,6,1,0.12661204,,,,
4,7,1,0.13781335,,,,
5,0,1,0.12834391,,,,
5,1,1,0.13082473,,,,
5,2,1,0.12172836,,,,
5,3,1,0.11481211,,,,
5,4,1,0.12972716,,,,
5,5,1,0.12225460,,,,
5,6,1,0.13225309,,,,
5,7,1,0.12097660,,,,
6,0,1,0.00000000,,,,
6,1,1,0.00000000,,,,
6,2,1,0.00000000,,,,
6,3,1,0.00000000,,,,
6,4,1,0.00000000,,,,
6,5,1,0.00000000,,,,
6,6,1,0.00000000,,,,
6,7,1,0.00000000,,,,
7,0,1,0.37106403,,,,
7,1,1,0.36765082,,,,
7,2,1,0.36447081,,,,
7,3,1,0.37575335,,,,
7,4,1,0.36054038,,,,
7,5,1,0.36629440,,,,
7,6,1,0.37993152,,,,
7,7,1,0.37060335,,,,
