k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.00000000,,,,
0,1,1,0.00000000,,,,
0,2,1,0.00000000,,,,
0,3,1,0.00000000,,,,
0,4,1,0.00000000,,,,
0,5,1,0.00000000,,,,
0,6,1,0.00000000,,,,
0,7,1,0.00000000,,,,
1,0,1,0.43978864,,,,
1,1,1,0.43804006,,,,
1,2,1,0.43701216,,,,
1,3,1,0.44152059,,,,
1,4,1,0.43399859,,,,
1,5,1,0.43825258,,,,
1,6,1,0.44024187,,,,
1,7,1,0.44503062,,,,
2,0,1,0.33569505,,,,
2,1,1,0.33136299,,,,
2,2,1,0.33938430,,,,
2,3,1,0.33899841,,,,
2,4,1,0.34202990,,,,
2,5,1,0.34390327,,,,
2,6,1,0.33494093,,,,
2,7,1,0.33863210,,,,
3,0,1,0.11265382,,,,
3,1,1,0.11167652,,,,
3,2,1,0.10605331,,,,
3,3,1,0.11182687,,,,
3,4,1,0.11047369,,,,
3,5,1,0.11340558,,,,
3,6,1,0.11415735,,,,
3,7,1,0.11182687,,,,
4,0,1,0.34731975,,,,
4,1,1,0.34538710,,,,
4,2,1,0.33524729,,,,
4,3,1,0.34865281,,,,
4,4,1,0.34068360,,,,
4,5,1,0.34483115,,,,
4,6,1,0.34036308,,,,
4,7,1,0.34623937,,,,
5,0,1,0.68726360,,,,
5,1,1,0.68983370,,,,
5,2,1,0.68869733,,,,
5,3,1,0.69540976,,,,
5,4,1,0.67838336,,,,
5,5,1,0.68658701,,,,
5,6,1,0.68675213,,,,
5,7,1,0.68684074,,,,
6,0,1,0.10989858,,,,
6,1,1,0.11448436,,,,
6,2,1,0.11974672,,,,
6,3,1,0.11967155,,,,
6,4,1,0.10914682,,,,
6,5,1,0.11140212,,,,
6,6,1,0.11317628,,,,
6,7,1,0.11099616,,,,
7,0,1,0.12148642,,,,
7,1,1,0.11930629,,,,
7,2,1,0.12096018,,,,
7,3,1,0.11847935,,,,
7,4,1,0.11351769,,,,
7,5,1,0.10900710,,,,
7,6,1,0.11539711,,,,
7,7,1,0.11314181,,,,
