k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.67629099,,,,
0,1,1,0.66982136,,,,
0,2,1,0.66819848,,,,
0,3,1,0.66943990,,,,
0,4,1,0.67174700,,,,
0,5,1,0.67280340,,,,
0,6,1,0.67337830,,,,
0,7,1,0.67825083,,,,
1,0,1,0.74902387,,,,
1,1,1,0.76164828,,,,
1,2,1,0.75800218,,,,
1,3,1,0.75846050,,,,
1,4,1,0.75739998,,,,
1,5,1,0.75299247,,,,
1,6,1,0.75693390,,,,
1,7,1,0.75641758,,,,
2,0,1,0.36706896,,,,
2,1,1,0.37091135,,,,
2,2,1,0.37040757,,,,
2,3,1,0.38377445,,,,
2,4,1,0.36705041,,,,
2,5,1,0.37844358,,,,
2,6,1,0.38021445,,,,
2,7,1,0.37374473,,,,
3,0,1,0.19641210,,,,
3,1,1,0.19456651,,,,
3,2,1,0.19578531,,,,
3,3,1,0.20304832,,,,
3,4,1,0.19591499,,,,
3,5,1,0.19341631,,,,
3,6,1,0.19222758,,,,
3,7,1,0.19244277,,,,
4,0,1,0.62325274,,,,
4,1,1,0.62803716,,,,
4,2,1,0.62908804,,,,
4,3,1,0.63142813,,,,
4,4,1,0.63392848,,,,
4,5,1,0.62499269,,,,
4,6,1,0.62551841,,,,
4,7,1,0.62490045,,,,
5,0,1,0.37736925,,,,
5,1,1,0.37659303,,,,
5,2,1,0.37995660,,,,
5,3,1,0.38573242,,,,
5,4,1,0.37445690,,,,
5,5,1,0.36611125,,,,
5,6,1,0.37923120,,,,
5,7,1,0.38043579,,,,
6,0,1,0.62493944,,,,
6,1,1,0.62366971,,,,
6,2,1,0.61612092,,,,
6,3,1,0.61323452,,,,
6,4,1,0.61690800,,,,
6,5,1,0.61423935,,,,
6,6,1,0.61188289,,,,
6,7,1,0.61219906,,,,
7,0,1,0.57825205,,,,
7,1,1,0.58002918,,,,
7,2,1,0.58697318,,,,
7,3,1,0.58231024,,,,
7,4,1,0.58314635,,,,
7,5,1,0.58134233,,,,
7,6,1,0.57884781,,,,
7,7,1,0.57312517,,,,
