k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.53866711,,,,
0,1,1,0.53970727,,,,
0,2,1,0.54552555,,,,
0,3,1,0.54601462,,,,
0,4,1,0.54440951,,,,
0,5,1,0.54933268,,,,
0,6,1,0.54252017,,,,
0,7,1,0.55057899,,,,
1,0,1,0.17475930,,,,
1,1,1,0.17417010,,,,
1,2,1,0.17503477,,,,
1,3,1,0.16939017,,,,
1,4,1,0.17122477,,,,
1,5,1,0.17454696,,,,
1,6,1,0.17224045,,,,
1,7,1,0.16614692,,,,
2,0,1,0.12930752,,,,
2,1,1,0.11953455,,,,
2,2,1,0.12081256,,,,
2,3,1,0.12171468,,,,
2,4,1,0.12163950,,,,
2,5,1,0.12246644,,,,
2,6,1,0.12096291,,,,
2,7,1,0.12163950,,,,
3,0,1,0.44230715,,,,
3,1,1,0.43995643,,,,
3,2,1,0.43300950,,,,
3,3,1,0.43894546,,,,
3,4,1,0.43381737,,,,
3,5,1,0.44048765,,,,
3,6,1,0.44215949,,,,
3,7,1,0.44327270,,,,
4,0,1,0.68192105,,,,
4,1,1,0.67823349,,,,
4,2,1,0.68270110,,,,
4,3,1,0.67749651,,,,
4,4,1,0.67959391,,,,
4,5,1,0.67788853,,,,
4,6,1,0.67691528,,,,
4,7,1,0.67923880,,,,
5,0,1,0.62107015,,,,
5,1,1,0.62730196,,,,
5,2,1,0.62512163,,,,
5,3,1,0.62493704,,,,
5,4,1,0.62654462,,,,
5,5,1,0.63144654,,,,
5,6,1,0.62388256,,,,
5,7,1,0.62843880,,,,
6,0,1,0.00000000,,,,
6,1,1,0.00000000,,,,
6,2,1,0.00000000,,,,
6,3,1,0.00000000,,,,
6,4,1,0.00000000,,,,
6,5,1,0.00000000,,,,
6,6,1,0.00000000,,,,
6,7,1,0.00000000,,,,
7,0,1,0.53920943,,,,
7,1,1,0.54064342,,,,
7,2,1,0.53211205,,,,
7,3,1,0.53385462,,,,
7,4,1,0.53506450,,,,
7,5,1,0.53520369,,,,
7,6,1,0.53615749,,,,
7,7,1,0.53656991,,,,
