k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.60912154,,,,
0,1,1,0.61182603,,,,
0,2,1,0.61597246,,,,
0,3,1,0.60916915,,,,
0,4,1,0.61096048,,,,
0,5,1,0.61758531,,,,
0,6,1,0.60843313,,,,
0,7,1,0.60484573,,,,
1,0,1,0.68926764,,,,
1,1,1,0.69426364,,,,
1,2,1,0.69012561,,,,
1,3,1,0.68585867,,,,
1,4,1,0.69009187,,,,
1,5,1,0.68724943,,,,
1,6,1,0.69243521,,,,
1,7,1,0.68568453,,,,
2,0,1,0.51925718,,,,
2,1,1,0.52336929,,,,
2,2,1,0.51424511,,,,
2,3,1,0.51640576,,,,
2,4,1,0.51571264,,,,
2,5,1,0.52300661,,,,
2,6,1,0.51274182,,,,
2,7,1,0.52005902,,,,
3,0,1,0.56298358,,,,
3,1,1,0.56551117,,,,
3,2,1,0.56518280,,,,
3,3,1,0.56711377,,,,
3,4,1,0.56199076,,,,
3,5,1,0.56640591,,,,
3,6,1,0.56374323,,,,
3,7,1,0.55637848,,,,
4,0,1,0.66108187,,,,
4,1,1,0.70365560,,,,
4,2,1,0.65722518,,,,
4,3,1,0.70456349,,,,
4,4,1,0.66123659,,,,
4,5,1,0.70624942,,,,
4,6,1,0.70227724,,,,
4,7,1,0.70707595,,,,
5,0,1,0.67633384,,,,
5,1,1,0.68118340,,,,
5,2,1,0.68068953,,,,
5,3,1,0.67669502,,,,
5,4,1,0.67913348,,,,
5,5,1,0.68155867,,,,
5,6,1,0.67411287,,,,
5,7,1,0.68068957,,,,
6,0,1,0.75128794,,,,
6,1,1,0.74718190,,,,
6,2,1,0.75358312,,,,
6,3,1,0.76069805,,,,
6,4,1,0.75629348,,,,
6,5,1,0.76103221,,,,
6,6,1,0.75007826,,,,
6,7,1,0.74875885,,,,
7,0,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Future Work',
7,1,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Future Work',
7,2,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Future Work',
7,3,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Future Work',
7,4,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Future Work',
7,5,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Future Work',
7,6,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Future Work',
7,7,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Future Work',
