k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.72697758,,,,
0,1,1,0.72806967,,,,
0,2,1,0.73131774,,,,
0,3,1,0.72747437,,,,
0,4,1,0.72964550,,,,
0,5,1,0.72662393,,,,
0,6,1,0.73184455,,,,
0,7,1,0.72490220,,,,
1,0,1,0.51661013,,,,
1,1,1,0.50781667,,,,
1,2,1,0.51166138,,,,
1,3,1,0.51652294,,,,
1,4,1,0.51302060,,,,
1,5,1,0.51147265,,,,
1,6,1,0.51465860,,,,
1,7,1,0.51550863,,,,
2,0,1,0.61115960,,,,
2,1,1,0.60559401,,,,
2,2,1,0.60751169,,,,
2,3,1,0.60842339,,,,
2,4,1,0.60621284,,,,
2,5,1,0.60756015,,,,
2,6,1,0.60387038,,,,
2,7,1,0.60636407,,,,
3,0,1,0.70793029,,,,
3,1,1,0.70599861,,,,
3,2,1,0.70706893,,,,
3,3,1,0.70347168,,,,
3,4,1,0.70473944,,,,
3,5,1,0.70629664,,,,
3,6,1,0.70763974,,,,
3,7,1,0.71132676,,,,
4,0,1,0.61087482,,,,
4,1,1,0.61092581,,,,
4,2,1,0.61525437,,,,
4,3,1,0.61216516,,,,
4,4,1,0.61244708,,,,
4,5,1,0.61399970,,,,
4,6,1,0.61886379,,,,
4,7,1,0.60979148,,,,
5,0,1,0.13055182,,,,
5,1,1,0.13092770,,,,
5,2,1,0.12150055,,,,
5,3,1,0.12852205,,,,
5,4,1,0.12671781,,,,
5,5,1,0.13280711,,,,
5,6,1,0.12401145,,,,
5,7,1,0.12378592,,,,
6,0,1,0.12903888,,,,
6,1,1,0.12851265,,,,
6,2,1,0.12309993,,,,
6,3,1,0.12851265,,,,
6,4,1,0.12482899,,,,
6,5,1,0.12693394,,,,
6,6,1,0.12761053,,,,
6,7,1,0.12873818,,,,
7,0,1,0.55345284,,,,
7,1,1,0.56011662,,,,
7,2,1,0.55787127,,,,
7,3,1,0.56072679,,,,
7,4,1,0.55666315,,,,
7,5,1,0.55784392,,,,
7,6,1,0.56110738,,,,
7,7,1,0.56145711,,,,
