k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.60334721,,,,
0,1,1,0.60277929,,,,
0,2,1,0.59986900,,,,
0,3,1,0.60324563,,,,
0,4,1,0.59965801,,,,
0,5,1,0.59744955,,,,
0,6,1,0.59929524,,,,
0,7,1,0.60568948,,,,
1,0,1,0.47037766,,,,
1,1,1,0.47044815,,,,
1,2,1,0.46973110,,,,
1,3,1,0.46905856,,,,
1,4,1,0.47221780,,,,
1,5,1,0.46820730,,,,
1,6,1,0.47130529,,,,
1,7,1,0.47702734,,,,
2,0,1,0.68484749,,,,
2,1,1,0.68984012,,,,
2,2,1,0.68584976,,,,
2,3,1,0.69131583,,,,
2,4,1,0.68628418,,,,
2,5,1,0.69118158,,,,
2,6,1,0.68987872,,,,
2,7,1,0.69356806,,,,
3,0,1,0.64547425,,,,
3,1,1,0.63808251,,,,
3,2,1,0.63695862,,,,
3,3,1,0.64510777,,,,
3,4,1,0.64705860,,,,
3,5,1,0.64312686,,,,
3,6,1,0.64796824,,,,
3,7,1,0.64506830,,,,
4,0,1,0.71366077,,,,
4,1,1,0.70268126,,,,
4,2,1,0.71055120,,,,
4,3,1,0.70442799,,,,
4,4,1,0.70810584,,,,
4,5,1,0.71070001,,,,
4,6,1,0.70892127,,,,
4,7,1,0.71142166,,,,
5,0,1,0.51916505,,,,
5,1,1,0.53143183,,,,
5,2,1,0.52860386,,,,
5,3,1,0.52979584,,,,
5,4,1,0.53062075,,,,
5,5,1,0.52787401,,,,
5,6,1,0.52559238,,,,
5,7,1,0.53251346,,,,
6,0,1,0.55885351,,,,
6,1,1,0.56164847,,,,
6,2,1,0.55341425,,,,
6,3,1,0.56222682,,,,
6,4,1,0.55713267,,,,
6,5,1,0.55478033,,,,
6,6,1,0.55825106,,,,
6,7,1,0.56191599,,,,
7,0,1,0.75707523,,,,
7,1,1,0.75835329,,,,
7,2,1,0.75790918,,,,
7,3,1,0.75565072,,,,
7,4,1,0.75669486,,,,
7,5,1,0.76119421,,,,
7,6,1,0.75284278,,,,
7,7,1,0.75869804,,,,
