k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.68760838,,,,
0,1,1,0.68006690,,,,
0,2,1,0.68648125,,,,
0,3,1,0.67791799,,,,
0,4,1,0.68572055,,,,
0,5,1,0.68492230,,,,
0,6,1,0.68312787,,,,
0,7,1,0.68102960,,,,
1,0,1,0.74494714,,,,
1,1,1,0.74645958,,,,
1,2,1,0.74606060,,,,
1,3,1,0.74192961,,,,
1,4,1,0.74800689,,,,
1,5,1,0.74740209,,,,
1,6,1,0.74665965,,,,
1,7,1,0.74872081,,,,
2,0,1,0.60779847,,,,
2,1,1,0.61113967,,,,
2,2,1,0.61051910,,,,
2,3,1,0.61059208,,,,
2,4,1,0.61417472,,,,
2,5,1,0.61539838,,,,
2,6,1,0.60826301,,,,
2,7,1,0.60794301,,,,
3,0,1,0.54925934,,,,
3,1,1,0.55222777,,,,
3,2,1,0.54730876,,,,
3,3,1,0.55494083,,,,
3,4,1,0.55480331,,,,
3,5,1,0.55639855,,,,
3,6,1,0.55029408,,,,
3,7,1,0.55173536,,,,
4,0,1,0.72863367,,,,
4,1,1,0.72369921,,,,
4,2,1,0.73069567,,,,
4,3,1,0.70731187,,,,
4,4,1,0.73011100,,,,
4,5,1,0.72759752,,,,
4,6,1,0.72582691,,,,
4,7,1,0.72416115,,,,
5,0,1,0.68159028,,,,
5,1,1,0.68184728,,,,
5,2,1,0.68042442,,,,
5,3,1,0.68014883,,,,
5,4,1,0.67985631,,,,
5,5,1,0.66926317,,,,
5,6,1,0.67945326,,,,
5,7,1,0.67821899,,,,
6,0,1,0.62666280,,,,
6,1,1,0.62803770,,,,
6,2,1,0.63187149,,,,
6,3,1,0.63052928,,,,
6,4,1,0.62815315,,,,
6,5,1,0.62926729,,,,
6,6,1,0.63058524,,,,
6,7,1,0.63159491,,,,
7,0,1,0.59255194,,,,
7,1,1,0.59262183,,,,
7,2,1,0.59146694,,,,
7,3,1,0.58826164,,,,
7,4,1,0.58721848,,,,
7,5,1,0.58950053,,,,
7,6,1,0.58833140,,,,
7,7,1,0.59114033,,,,
