k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.81838024,,,,
0,1,1,0.81984437,,,,
0,2,1,0.82209306,,,,
0,3,1,0.81898349,,,,
0,4,1,0.82191347,,,,
0,5,1,0.82096123,,,,
0,6,1,0.82006556,,,,
0,7,1,0.82199345,,,,
1,0,1,0.74469797,,,,
1,1,1,0.74887716,,,,
1,2,1,0.75160387,,,,
1,3,1,0.74774232,,,,
1,4,1,0.74604167,,,,
1,5,1,0.74589996,,,,
1,6,1,0.74668908,,,,
1,7,1,0.74757771,,,,
2,0,1,0.64240399,,,,
2,1,1,0.64819097,,,,
2,2,1,0.63787419,,,,
2,3,1,0.65187680,,,,
2,4,1,0.65367232,,,,
2,5,1,0.65180239,,,,
2,6,1,0.64128553,,,,
2,7,1,0.63054653,,,,
3,0,1,0.71943122,,,,
3,1,1,0.72998146,,,,
3,2,1,0.72108082,,,,
3,3,1,0.73022100,,,,
3,4,1,0.72158406,,,,
3,5,1,0.72618399,,,,
3,6,1,0.72902720,,,,
3,7,1,0.73010423,,,,
4,0,1,0.70320650,,,,
4,1,1,0.69347469,,,,
4,2,1,0.69581135,,,,
4,3,1,0.70156430,,,,
4,4,1,0.70398713,,,,
4,5,1,0.69372183,,,,
4,6,1,0.69622989,,,,
4,7,1,0.70020672,,,,
5,0,1,0.76951897,,,,
5,1,1,0.76204838,,,,
5,2,1,0.76424056,,,,
5,3,1,0.76587769,,,,
5,4,1,0.76420079,,,,
5,5,1,0.76649768,,,,
5,6,1,0.76271243,,,,
5,7,1,0.76663740,,,,
6,0,1,0.73702862,,,,
6,1,1,0.72973035,,,,
6,2,1,0.73225909,,,,
6,3,1,0.73676503,,,,
6,4,1,0.73668608,,,,
6,5,1,0.73178993,,,,
6,6,1,0.74163132,,,,
6,7,1,0.72811079,,,,
7,0,1,0.72269052,,,,
7,1,1,0.72222863,,,,
7,2,1,0.71480265,,,,
7,3,1,0.72467271,,,,
7,4,1,0.71775364,,,,
7,5,1,0.71825308,,,,
7,6,1,0.72258643,,,,
7,7,1,0.72116324,,,,
