k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.70801371,,,,
0,1,1,0.70443428,,,,
0,2,1,0.70386988,,,,
0,3,1,0.71063162,,,,
0,4,1,0.69898540,,,,
0,5,1,0.70382431,,,,
0,6,1,0.70720091,,,,
0,7,1,0.70558887,,,,
1,0,1,0.70588010,,,,
1,1,1,0.70550371,,,,
1,2,1,0.70665876,,,,
1,3,1,0.71176523,,,,
1,4,1,0.70660255,,,,
1,5,1,0.70946448,,,,
1,6,1,0.70224282,,,,
1,7,1,0.71398789,,,,
2,0,1,0.76581654,,,,
2,1,1,0.76415559,,,,
2,2,1,0.76055926,,,,
2,3,1,0.76353591,,,,
2,4,1,0.76532135,,,,
2,5,1,0.75964260,,,,
2,6,1,0.75424769,,,,
2,7,1,0.76468799,,,,
3,0,1,0.50854221,,,,
3,1,1,0.50910659,,,,
3,2,1,0.50869581,,,,
3,3,1,0.51148385,,,,
3,4,1,0.51180509,,,,
3,5,1,0.50889337,,,,
3,6,1,0.50940555,,,,
3,7,1,0.51071872,,,,
4,0,1,0.12183917,,,,
4,1,1,0.12056116,,,,
4,2,1,0.11823069,,,,
4,3,1,0.11510334,,,,
4,4,1,0.12492141,,,,
4,5,1,0.12371858,,,,
4,6,1,0.12800365,,,,
4,7,1,0.12183917,,,,
5,0,1,0.70470967,,,,
5,1,1,0.69913181,,,,
5,2,1,0.70504698,,,,
5,3,1,0.70575811,,,,
5,4,1,0.70440039,,,,
5,5,1,0.70537056,,,,
5,6,1,0.70485793,,,,
5,7,1,0.70359929,,,,
6,0,1,0.60149273,,,,
6,1,1,0.60302810,,,,
6,2,1,0.59553034,,,,
6,3,1,0.60737558,,,,
6,4,1,0.60334105,,,,
6,5,1,0.60160447,,,,
6,6,1,0.60443203,,,,
6,7,1,0.60878025,,,,
7,0,1,0.74832138,,,,
7,1,1,0.74762874,,,,
7,2,1,0.74944788,,,,
7,3,1,0.74795650,,,,
7,4,1,0.74436094,,,,
7,5,1,0.74331908,,,,
7,6,1,0.74854950,,,,
7,7,1,0.75004428,,,,
