k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.64266131,,,,
0,1,1,0.64651037,,,,
0,2,1,0.64852965,,,,
0,3,1,0.64166855,,,,
0,4,1,0.64639887,,,,
0,5,1,0.64984452,,,,
0,6,1,0.65184224,,,,
0,7,1,0.64902012,,,,
1,0,1,0.57130292,,,,
1,1,1,0.57327031,,,,
1,2,1,0.57570034,,,,
1,3,1,0.57064768,,,,
1,4,1,0.57427938,,,,
1,5,1,0.57493282,,,,
1,6,1,0.57742779,,,,
1,7,1,0.57451271,,,,
2,0,1,0.70431987,,,,
2,1,1,0.70680167,,,,
2,2,1,0.69894414,,,,
2,3,1,0.70415389,,,,
2,4,1,0.70196585,,,,
2,5,1,0.69928631,,,,
2,6,1,0.70348606,,,,
2,7,1,0.69793816,,,,
3,0,1,0.68150424,,,,
3,1,1,0.67478754,,,,
3,2,1,0.67443996,,,,
3,3,1,0.68282377,,,,
3,4,1,0.68210647,,,,
3,5,1,0.68498595,,,,
3,6,1,0.68360693,,,,
3,7,1,0.68086995,,,,
4,0,1,0.77405145,,,,
4,1,1,0.76385035,,,,
4,2,1,0.76190517,,,,
4,3,1,0.76694679,,,,
4,4,1,0.76760654,,,,
4,5,1,0.76986467,,,,
4,6,1,0.76970538,,,,
4,7,1,0.77145678,,,,
5,0,1,0.78381180,,,,
5,1,1,0.78914965,,,,
5,2,1,0.78520149,,,,
5,3,1,0.77966484,,,,
5,4,1,0.78571140,,,,
5,5,1,0.78032386,,,,
5,6,1,0.78702597,,,,
5,7,1,0.78224484,,,,
6,0,1,0.74229042,,,,
6,1,1,0.74421862,,,,
6,2,1,0.74147030,,,,
6,3,1,0.73448020,,,,
6,4,1,0.73817922,,,,
6,5,1,0.74615702,,,,
6,6,1,0.74541677,,,,
6,7,1,0.74169697,,,,
7,0,1,0.56709237,,,,
7,1,1,0.56773246,,,,
7,2,1,0.57415740,,,,
7,3,1,0.57253960,,,,
7,4,1,0.55931649,,,,
7,5,1,0.56355072,,,,
7,6,1,0.56534831,,,,
7,7,1,0.57133649,,,,
