k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,0,,dag_validation_failed,dag_validation_failed,Node 2: child '14' does not exist,
0,1,0,,dag_validation_failed,dag_validation_failed,Node 2: child '14' does not exist,
0,2,0,,dag_validation_failed,dag_validation_failed,Node 2: child '14' does not exist,
0,3,0,,dag_validation_failed,dag_validation_failed,Node 2: child '14' does not exist,
0,4,0,,dag_validation_failed,dag_validation_failed,Node 2: child '14' does not exist,
0,5,0,,dag_validation_failed,dag_validation_failed,Node 2: child '14' does not exist,
0,6,0,,dag_validation_failed,dag_validation_failed,Node 2: child '14' does not exist,
0,7,0,,dag_validation_failed,dag_validation_failed,Node 2: child '14' does not exist,
1,0,1,0.61004476,,,,
1,1,1,0.61597586,,,,
1,2,1,0.60633541,,,,
1,3,1,0.61392463,,,,
1,4,1,0.60703603,,,,
1,5,1,0.60549771,,,,
1,6,1,0.61811965,,,,
1,7,1,0.61118567,,,,
2,0,1,0.61011934,,,,
2,1,1,0.61223790,,,,
2,2,1,0.61091905,,,,
2,3,1,0.61807828,,,,
2,4,1,0.61419998,,,,
2,5,1,0.61532175,,,,
2,6,1,0.61537240,,,,
2,7,1,0.61291247,,,,
3,0,1,0.77597437,,,,
3,1,1,0.77549879,,,,
3,2,1,0.78440509,,,,
3,3,1,0.77899119,,,,
3,4,1,0.77309577,,,,
3,5,1,0.77360777,,,,
3,6,1,0.77832398,,,,
3,7,1,0.77341042,,,,
4,0,1,0.73649276,,,,
4,1,1,0.74267754,,,,
4,2,1,0.73986392,,,,
4,3,1,0.74306896,,,,
4,4,1,0.74444109,,,,
4,5,1,0.74148657,,,,
4,6,1,0.73779881,,,,
4,7,1,0.74089362,,,,
5,0,1,0.10965571,,,,
5,1,1,0.11499325,,,,
5,2,1,0.11491807,,,,
5,3,1,0.10078486,,,,
5,4,1,0.11582019,,,,
5,5,1,0.11582019,,,,
5,6,1,0.10973088,,,,
5,7,1,0.11348971,,,,
6,0,1,0.69144018,,,,
6,1,1,0.70591346,,,,
6,2,1,0.69077688,,,,
6,3,1,0.68653697,,,,
6,4,1,0.69884333,,,,
6,5,1,0.69311337,,,,
6,6,1,0.70011467,,,,
6,7,1,0.69067852,,,,
7,0,1,0.72457785,,,,
7,1,1,0.72056451,,,,
7,2,1,0.72098790,,,,
7,3,1,0.72160833,,,,
7,4,1,0.72478739,,,,
7,5,1,0.72529872,,,,
7,6,1,0.71845786,,,,
7,7,1,0.72836038,,,,
