k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.00000000,,,,
0,1,1,0.00000000,,,,
0,2,1,0.00000000,,,,
0,3,1,0.00000000,,,,
0,4,1,0.00000000,,,,
0,5,1,0.00000000,,,,
0,6,1,0.00000000,,,,
0,7,1,0.00000000,,,,
1,0,1,0.64124796,,,,
1,1,1,0.63497940,,,,
1,2,1,0.63465784,,,,
1,3,1,0.63856803,,,,
1,4,1,0.63223570,,,,
1,5,1,0.63223350,,,,
1,6,1,0.64085459,,,,
1,7,1,0.63596628,,,,
2,0,1,0.69681228,,,,
2,1,1,0.69358800,,,,
2,2,1,0.68291653,,,,
2,3,1,0.68127024,,,,
2,4,1,0.69291683,,,,
2,5,1,0.69691963,,,,
2,6,1,0.68624165,,,,
2,7,1,0.69495202,,,,
3,0,1,0.00000000,,,,
3,1,1,0.00000000,,,,
3,2,1,0.00000000,,,,
3,3,1,0.00000000,,,,
3,4,1,0.00000000,,,,
3,5,1,0.00000000,,,,
3,6,1,0.00000000,,,,
3,7,1,0.00000000,,,,
4,0,1,0.59436960,,,,
4,1,1,0.59562902,,,,
4,2,1,0.59333421,,,,
4,3,1,0.59328438,,,,
4,4,1,0.60133291,,,,
4,5,1,0.59863889,,,,
4,6,1,0.58939878,,,,
4,7,1,0.59746077,,,,
5,0,1,0.73819591,,,,
5,1,1,0.73874037,,,,
5,2,1,0.73258689,,,,
5,3,1,0.74203947,,,,
5,4,1,0.73856306,,,,
5,5,1,0.74237594,,,,
5,6,1,0.74943313,,,,
5,7,1,0.74106766,,,,
6,0,1,0.00000000,,,,
6,1,1,0.00000000,,,,
6,2,1,0.00000000,,,,
6,3,1,0.00000000,,,,
6,4,1,0.00000000,,,,
6,5,1,0.00000000,,,,
6,6,1,0.00000000,,,,
6,7,1,0.00000000,,,,
7,0,1,0.00000000,,,,
7,1,1,0.00000000,,,,
7,2,1,0.00000000,,,,
7,3,1,0.00000000,,,,
7,4,1,0.00000000,,,,
7,5,1,0.00000000,,,,
7,6,1,0.00000000,,,,
7,7,1,0.00000000,,,,
