k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.44841746,,,,
0,1,1,0.44035980,,,,
0,2,1,0.44721343,,,,
0,3,1,0.44203697,,,,
0,4,1,0.45009710,,,,
0,5,1,0.45565083,,,,
0,6,1,0.44218259,,,,
0,7,1,0.44896945,,,,
1,0,1,0.65921921,,,,
1,1,1,0.66443421,,,,
1,2,1,0.65514739,,,,
1,3,1,0.66588813,,,,
1,4,1,0.66227903,,,,
1,5,1,0.66220640,,,,
1,6,1,0.66000900,,,,
1,7,1,0.65957417,,,,
2,0,1,0.77183344,,,,
2,1,1,0.77351282,,,,
2,2,1,0.77410183,,,,
2,3,1,0.77195555,,,,
2,4,1,0.77323047,,,,
2,5,1,0.77509303,,,,
2,6,1,0.77511350,,,,
2,7,1,0.77088387,,,,
3,0,1,0.78130274,,,,
3,1,1,0.78057299,,,,
3,2,1,0.78170279,,,,
3,3,1,0.78203603,,,,
3,4,1,0.78286912,,,,
3,5,1,0.78139055,,,,
3,6,1,0.78277886,,,,
3,7,1,0.78165325,,,,
4,0,1,0.00000000,,,,
4,1,1,0.00000000,,,,
4,2,1,0.00000000,,,,
4,3,1,0.00000000,,,,
4,4,1,0.00000000,,,,
4,5,1,0.00000000,,,,
4,6,1,0.00000000,,,,
4,7,1,0.00000000,,,,
5,0,1,0.65093179,,,,
5,1,1,0.65122001,,,,
5,2,1,0.64780380,,,,
5,3,1,0.65015522,,,,
5,4,1,0.65236235,,,,
5,5,1,0.64965955,,,,
5,6,1,0.64919154,,,,
5,7,1,0.64714940,,,,
6,0,1,0.00000000,,,,
6,1,1,0.00000000,,,,
6,2,1,0.00000000,,,,
6,3,1,0.00000000,,,,
6,4,1,0.00000000,,,,
6,5,1,0.00000000,,,,
6,6,1,0.00000000,,,,
6,7,1,0.00000000,,,,
7,0,1,0.62564359,,,,
7,1,1,0.62694558,,,,
7,2,1,0.62832905,,,,
7,3,1,0.62733444,,,,
7,4,1,0.62574263,,,,
7,5,1,0.62795903,,,,
7,6,1,0.62981388,,,,
7,7,1,0.62456227,,,,
