k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.77389361,,,,
0,1,1,0.76430302,,,,
0,2,1,0.78233802,,,,
0,3,1,0.76494642,,,,
0,4,1,0.76093379,,,,
0,5,1,0.76893585,,,,
0,6,1,0.76102783,,,,
0,7,1,0.76650582,,,,
1,0,1,0.00000000,,,,
1,1,1,0.00000000,,,,
1,2,1,0.00000000,,,,
1,3,1,0.00000000,,,,
1,4,1,0.00000000,,,,
1,5,1,0.00000000,,,,
1,6,1,0.00000000,,,,
1,7,1,0.00000000,,,,
2,0,1,0.67507002,,,,
2,1,1,0.68311732,,,,
2,2,1,0.68117952,,,,
2,3,1,0.67698508,,,,
2,4,1,0.68284569,,,,
2,5,1,0.67549092,,,,
2,6,1,0.68306561,,,,
2,7,1,0.68299251,,,,
3,0,1,0.64771764,,,,
3,1,1,0.64798272,,,,
3,2,1,0.64799669,,,,
3,3,1,0.64779783,,,,
3,4,1,0.64854902,,,,
3,5,1,0.64569016,,,,
3,6,1,0.65130260,,,,
3,7,1,0.64651635,,,,
4,0,1,0.77735581,,,,
4,1,1,0.77532512,,,,
4,2,1,0.78019807,,,,
4,3,1,0.77364760,,,,
4,4,1,0.78201045,,,,
4,5,1,0.77967736,,,,
4,6,1,0.78201160,,,,
4,7,1,0.77542296,,,,
5,0,1,0.45964655,,,,
5,1,1,0.45708444,,,,
5,2,1,0.46026089,,,,
5,3,1,0.46124617,,,,
5,4,1,0.45146851,,,,
5,5,1,0.45908132,,,,
5,6,1,0.45715727,,,,
5,7,1,0.45862673,,,,
6,0,1,0.66000067,,,,
6,1,1,0.64602055,,,,
6,2,1,0.65131737,,,,
6,3,1,0.65223284,,,,
6,4,1,0.65400575,,,,
6,5,1,0.65196257,,,,
6,6,1,0.64846555,,,,
6,7,1,0.65233751,,,,
7,0,1,0.62637176,,,,
7,1,1,0.63480664,,,,
7,2,1,0.62158129,,,,
7,3,1,0.62687881,,,,
7,4,1,0.62851854,,,,
7,5,1,0.63102902,,,,
7,6,1,0.63067578,,,,
7,7,1,0.62138161,,,,
