k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.13140350,,,,
0,1,1,0.13140350,,,,
0,2,1,0.12956919,,,,
0,3,1,0.13803408,,,,
0,4,1,0.12696808,,,,
0,5,1,0.13791380,,,,
0,6,1,0.13941733,,,,
0,7,1,0.13716203,,,,
1,0,1,0.57322833,,,,
1,1,1,0.57986623,,,,
1,2,1,0.57628055,,,,
1,3,1,0.57791652,,,,
1,4,1,0.57095067,,,,
1,5,1,0.57922518,,,,
1,6,1,0.57338718,,,,
1,7,1,0.57726553,,,,
2,0,1,0.00000000,,,,
2,1,1,0.00000000,,,,
2,2,1,0.00000000,,,,
2,3,1,0.00000000,,,,
2,4,1,0.00000000,,,,
2,5,1,0.00000000,,,,
2,6,1,0.00000000,,,,
2,7,1,0.00000000,,,,
3,0,1,0.67893033,,,,
3,1,1,0.67719872,,,,
3,2,1,0.67532975,,,,
3,3,1,0.67612018,,,,
3,4,1,0.67175383,,,,
3,5,1,0.67383587,,,,
3,6,1,0.67793879,,,,
3,7,1,0.68319157,,,,
4,0,1,0.69110383,,,,
4,1,1,0.68466529,,,,
4,2,1,0.68304993,,,,
4,3,1,0.68601440,,,,
4,4,1,0.68907521,,,,
4,5,1,0.68405825,,,,
4,6,1,0.68588333,,,,
4,7,1,0.68060728,,,,
5,0,1,0.67541458,,,,
5,1,1,0.67433090,,,,
5,2,1,0.68305834,,,,
5,3,1,0.68391347,,,,
5,4,1,0.68660892,,,,
5,5,1,0.68095654,,,,
5,6,1,0.68305027,,,,
5,7,1,0.68301874,,,,
6,0,1,0.56197005,,,,
6,1,1,0.56065643,,,,
6,2,1,0.55929515,,,,
6,3,1,0.55825201,,,,
6,4,1,0.56184291,,,,
6,5,1,0.56609180,,,,
6,6,1,0.55350200,,,,
6,7,1,0.55541284,,,,
7,0,1,0.63741424,,,,
7,1,1,0.64213886,,,,
7,2,1,0.65108645,,,,
7,3,1,0.63368955,,,,
7,4,1,0.64293666,,,,
7,5,1,0.63642714,,,,
7,6,1,0.64780100,,,,
7,7,1,0.62736828,,,,
