k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.00000000,,,,
0,1,1,0.00000000,,,,
0,2,1,0.00000000,,,,
0,3,1,0.00000000,,,,
0,4,1,0.00000000,,,,
0,5,1,0.00000000,,,,
0,6,1,0.00000000,,,,
0,7,1,0.00000000,,,,
1,0,1,0.00000000,,,,
1,1,1,0.00000000,,,,
1,2,1,0.00000000,,,,
1,3,1,0.00000000,,,,
1,4,1,0.00000000,,,,
1,5,1,0.00000000,,,,
1,6,1,0.00000000,,,,
1,7,1,0.00000000,,,,
2,0,1,0.67619590,,,,
2,1,1,0.67674598,,,,
2,2,1,0.68124579,,,,
2,3,1,0.67444854,,,,
2,4,1,0.67540546,,,,
2,5,1,0.67166552,,,,
2,6,1,0.67655062,,,,
2,7,1,0.67300683,,,,
3,0,1,0.00000000,,,,
3,1,1,0.00000000,,,,
3,2,1,0.00000000,,,,
3,3,1,0.00000000,,,,
3,4,1,0.00000000,,,,
3,5,1,0.00000000,,,,
3,6,1,0.00000000,,,,
3,7,1,0.00000000,,,,
4,0,1,0.50026406,,,,
4,1,1,0.50706227,,,,
4,2,1,0.50448322,,,,
4,3,1,0.49586916,,,,
4,4,1,0.49856421,,,,
4,5,1,0.50128226,,,,
4,6,1,0.50357536,,,,
4,7,1,0.50372027,,,,
5,0,1,0.00000000,,,,
5,1,1,0.00000000,,,,
5,2,1,0.00000000,,,,
5,3,1,0.00000000,,,,
5,4,1,0.00000000,,,,
5,5,1,0.00000000,,,,
5,6,1,0.00000000,,,,
5,7,1,0.00000000,,,,
6,0,1,0.00000000,,,,
6,1,1,0.00000000,,,,
6,2,1,0.00000000,,,,
6,3,1,0.00000000,,,,
6,4,1,0.00000000,,,,
6,5,1,0.00000000,,,,
6,6,1,0.00000000,,,,
6,7,1,0.00000000,,,,
7,0,1,0.00000000,,,,
7,1,1,0.00000000,,,,
7,2,1,0.00000000,,,,
7,3,1,0.00000000,,,,
7,4,1,0.00000000,,,,
7,5,1,0.00000000,,,,
7,6,1,0.00000000,,,,
7,7,1,0.00000000,,,,
