k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,0,,dag_validation_failed,dag_validation_failed,Node 12: unknown role 'Extension',
0,1,0,,dag_validation_failed,dag_validation_failed,Node 12: unknown role 'Extension',
0,2,0,,dag_validation_failed,dag_validation_failed,Node 12: unknown role 'Extension',
0,3,0,,dag_validation_failed,dag_validation_failed,Node 12: unknown role 'Extension',
0,4,0,,dag_validation_failed,dag_validation_failed,Node 12: unknown role 'Extension',
0,5,0,,dag_validation_failed,dag_validation_failed,Node 12: unknown role 'Extension',
0,6,0,,dag_validation_failed,dag_validation_failed,Node 12: unknown role 'Extension',
0,7,0,,dag_validation_failed,dag_validation_failed,Node 12: unknown role 'Extension',
1,0,1,0.00000000,,,,
1,1,1,0.00000000,,,,
1,2,1,0.00000000,,,,
1,3,1,0.00000000,,,,
1,4,1,0.00000000,,,,
1,5,1,0.00000000,,,,
1,6,1,0.00000000,,,,
1,7,1,0.00000000,,,,
2,0,1,0.54681205,,,,
2,1,1,0.53953112,,,,
2,2,1,0.53828644,,,,
2,3,1,0.54532953,,,,
2,4,1,0.53688108,,,,
2,5,1,0.54503551,,,,
2,6,1,0.55425007,,,,
2,7,1,0.54531245,,,,
3,0,1,0.09600826,,,,
3,1,1,0.10675851,,,,
3,2,1,0.10772077,,,,
3,3,1,0.10217274,,,,
3,4,1,0.10066921,,,,
3,5,1,0.10803652,,,,
3,6,1,0.10600675,,,,
3,7,1,0.10803652,,,,
4,0,1,0.00000000,,,,
4,1,1,0.00000000,,,,
4,2,1,0.00000000,,,,
4,3,1,0.00000000,,,,
4,4,1,0.00000000,,,,
4,5,1,0.00000000,,,,
4,6,1,0.00000000,,,,
4,7,1,0.00000000,,,,
5,0,1,0.43066108,,,,
5,1,1,0.44153821,,,,
5,2,1,0.43496495,,,,
5,3,1,0.44236113,,,,
5,4,1,0.44332513,,,,
5,5,1,0.44248626,,,,
5,6,1,0.44005243,,,,
5,7,1,0.44442567,,,,
6,0,1,0.00000000,,,,
6,1,1,0.00000000,,,,
6,2,1,0.00000000,,,,
6,3,1,0.00000000,,,,
6,4,1,0.00000000,,,,
6,5,1,0.00000000,,,,
6,6,1,0.00000000,,,,
6,7,1,0.00000000,,,,
7,0,1,0.00000000,,,,
7,1,1,0.00000000,,,,
7,2,1,0.00000000,,,,
7,3,1,0.00000000,,,,
7,4,1,0.00000000,,,,
7,5,1,0.00000000,,,,
7,6,1,0.00000000,,,,
7,7,1,0.00000000,,,,
