k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.56762140,,,,
0,1,1,0.57057587,,,,
0,2,1,0.56658961,,,,
0,3,1,0.58326547,,,,
0,4,1,0.57079090,,,,
0,5,1,0.57825895,,,,
0,6,1,0.57754080,,,,
0,7,1,0.57187123,,,,
1,0,1,0.51057033,,,,
1,1,1,0.50828826,,,,
1,2,1,0.51017797,,,,
1,3,1,0.51087915,,,,
1,4,1,0.51359665,,,,
1,5,1,0.51036415,,,,
1,6,1,0.50646130,,,,
1,7,1,0.51064199,,,,
2,0,1,0.10920175,,,,
2,1,1,0.10844999,,,,
2,2,1,0.10484151,,,,
2,3,1,0.11205847,,,,
2,4,1,0.11228400,,,,
2,5,1,0.11408823,,,,
2,6,1,0.11551659,,,,
2,7,1,0.11514071,,,,
3,0,1,0.74577727,,,,
3,1,1,0.74298657,,,,
3,2,1,0.73831316,,,,
3,3,1,0.74992113,,,,
3,4,1,0.73080380,,,,
3,5,1,0.73573944,,,,
3,6,1,0.73781240,,,,
3,7,1,0.73914656,,,,
4,0,1,0.51516671,,,,
4,1,1,0.51487822,,,,
4,2,1,0.51413961,,,,
4,3,1,0.51499004,,,,
4,4,1,0.51647572,,,,
4,5,1,0.51552192,,,,
4,6,1,0.51614589,,,,
4,7,1,0.51360679,,,,
5,0,1,0.77709703,,,,
5,1,1,0.78164535,,,,
5,2,1,0.77542438,,,,
5,3,1,0.76550341,,,,
5,4,1,0.77916726,,,,
5,5,1,0.77659857,,,,
5,6,1,0.77804173,,,,
5,7,1,0.78150336,,,,
6,0,1,0.71668766,,,,
6,1,1,0.72370616,,,,
6,2,1,0.72486615,,,,
6,3,1,0.72563716,,,,
6,4,1,0.72311225,,,,
6,5,1,0.71721172,,,,
6,6,1,0.72351421,,,,
6,7,1,0.72117166,,,,
7,0,1,0.60598591,,,,
7,1,1,0.60700336,,,,
7,2,1,0.61889464,,,,
7,3,1,0.61178292,,,,
7,4,1,0.61010097,,,,
7,5,1,0.61331391,,,,
7,6,1,0.60054804,,,,
7,7,1,0.60891570,,,,
