k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.68430967,,,,
0,1,1,0.68262566,,,,
0,2,1,0.68437594,,,,
0,3,1,0.68875236,,,,
0,4,1,0.69096866,,,,
0,5,1,0.68620279,,,,
0,6,1,0.68578568,,,,
0,7,1,0.68371884,,,,
1,0,1,0.70390168,,,,
1,1,1,0.70129577,,,,
1,2,1,0.69931637,,,,
1,3,1,0.70407299,,,,
1,4,1,0.69991418,,,,
1,5,1,0.69717586,,,,
1,6,1,0.69623923,,,,
1,7,1,0.69682480,,,,
2,0,1,0.75890048,,,,
2,1,1,0.75157468,,,,
2,2,1,0.77374585,,,,
2,3,1,0.75269170,,,,
2,4,1,0.75704046,,,,
2,5,1,0.76052670,,,,
2,6,1,0.75989410,,,,
2,7,1,0.75416560,,,,
3,0,1,0.64567603,,,,
3,1,1,0.65026298,,,,
3,2,1,0.64528778,,,,
3,3,1,0.64890527,,,,
3,4,1,0.64503045,,,,
3,5,1,0.64675378,,,,
3,6,1,0.64537061,,,,
3,7,1,0.64928840,,,,
4,0,1,0.69751930,,,,
4,1,1,0.70078467,,,,
4,2,1,0.70095945,,,,
4,3,1,0.69798026,,,,
4,4,1,0.70345990,,,,
4,5,1,0.69877329,,,,
4,6,1,0.70348717,,,,
4,7,1,0.70628580,,,,
5,0,1,0.66406952,,,,
5,1,1,0.67383986,,,,
5,2,1,0.67611757,,,,
5,3,1,0.67722367,,,,
5,4,1,0.66537066,,,,
5,5,1,0.67277410,,,,
5,6,1,0.67739974,,,,
5,7,1,0.68198429,,,,
6,0,1,0.67766194,,,,
6,1,1,0.67347113,,,,
6,2,1,0.67736054,,,,
6,3,1,0.67556116,,,,
6,4,1,0.67337387,,,,
6,5,1,0.67530290,,,,
6,6,1,0.67658300,,,,
6,7,1,0.67313227,,,,
7,0,1,0.68862612,,,,
7,1,1,0.68990911,,,,
7,2,1,0.68772197,,,,
7,3,1,0.68858510,,,,
7,4,1,0.68870800,,,,
7,5,1,0.68976115,,,,
7,6,1,0.68880175,,,,
7,7,1,0.68798239,,,,
