k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.69537011,,,,
0,1,1,0.69549679,,,,
0,2,1,0.69895090,,,,
0,3,1,0.69540830,,,,
0,4,1,0.69782415,,,,
0,5,1,0.69289967,,,,
0,6,1,0.70068290,,,,
0,7,1,0.69074750,,,,
1,0,1,0.65560630,,,,
1,1,1,0.65574970,,,,
1,2,1,0.66204972,,,,
1,3,1,0.65185574,,,,
1,4,1,0.65629728,,,,
1,5,1,0.65473123,,,,
1,6,1,0.65444912,,,,
1,7,1,0.65916271,,,,
2,0,1,0.57179237,,,,
2,1,1,0.56837578,,,,
2,2,1,0.57268447,,,,
2,3,1,0.57306515,,,,
2,4,1,0.57265655,,,,
2,5,1,0.56962860,,,,
2,6,1,0.57494748,,,,
2,7,1,0.58312744,,,,
3,0,1,0.80806559,,,,
3,1,1,0.81068327,,,,
3,2,1,0.81054418,,,,
3,3,1,0.81363627,,,,
3,4,1,0.81175967,,,,
3,5,1,0.80588476,,,,
3,6,1,0.81289042,,,,
3,7,1,0.80789679,,,,
4,0,1,0.60359927,,,,
4,1,1,0.60158255,,,,
4,2,1,0.60113190,,,,
4,3,1,0.59853871,,,,
4,4,1,0.60414023,,,,
4,5,1,0.60264995,,,,
4,6,1,0.60163063,,,,
4,7,1,0.60315039,,,,
5,0,1,0.75054619,,,,
5,1,1,0.76064958,,,,
5,2,1,0.75623797,,,,
5,3,1,0.76011667,,,,
5,4,1,0.75641769,,,,
5,5,1,0.76669306,,,,
5,6,1,0.75368856,,,,
5,7,1,0.76155271,,,,
6,0,1,0.79301430,,,,
6,1,1,0.79011481,,,,
6,2,1,0.79154582,,,,
6,3,1,0.79206288,,,,
6,4,1,0.79550611,,,,
6,5,1,0.78737956,,,,
6,6,1,0.79129168,,,,
6,7,1,0.79198082,,,,
7,0,1,0.77630787,,,,
7,1,1,0.78068582,,,,
7,2,1,0.76888842,,,,
7,3,1,0.78045826,,,,
7,4,1,0.78091026,,,,
7,5,1,0.77777822,,,,
7,6,1,0.78168640,,,,
7,7,1,0.77532737,,,,
