k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.75367525,,,,
0,1,1,0.75004526,,,,
0,2,1,0.75248780,,,,
0,3,1,0.75011073,,,,
0,4,1,0.74960006,,,,
0,5,1,0.74445630,,,,
0,6,1,0.75198731,,,,
0,7,1,0.74653616,,,,
1,0,1,0.61992193,,,,
1,1,1,0.63572075,,,,
1,2,1,0.62738206,,,,
1,3,1,0.63180797,,,,
1,4,1,0.62492244,,,,
1,5,1,0.62345275,,,,
1,6,1,0.62187210,,,,
1,7,1,0.62882663,,,,
2,0,1,0.75726128,,,,
2,1,1,0.74492539,,,,
2,2,1,0.75019260,,,,
2,3,1,0.75488045,,,,
2,4,1,0.74908270,,,,
2,5,1,0.74968588,,,,
2,6,1,0.75702134,,,,
2,7,1,0.74795826,,,,
3,0,1,0.70699145,,,,
3,1,1,0.70103479,,,,
3,2,1,0.70576305,,,,
3,3,1,0.71101138,,,,
3,4,1,0.71996941,,,,
3,5,1,0.70041584,,,,
3,6,1,0.71082146,,,,
3,7,1,0.70211483,,,,
4,0,1,0.77461818,,,,
4,1,1,0.78176720,,,,
4,2,1,0.77974231,,,,
4,3,1,0.78059133,,,,
4,4,1,0.78013882,,,,
4,5,1,0.77539196,,,,
4,6,1,0.77965614,,,,
4,7,1,0.78135546,,,,
5,0,1,0.69047350,,,,
5,1,1,0.69600518,,,,
5,2,1,0.70042336,,,,
5,3,1,0.69479644,,,,
5,4,1,0.70395993,,,,
5,5,1,0.69671725,,,,
5,6,1,0.70793286,,,,
5,7,1,0.69431197,,,,
6,0,1,0.20730521,,,,
6,1,1,0.20437332,,,,
6,2,1,0.19657939,,,,
6,3,1,0.20470316,,,,
6,4,1,0.19236480,,,,
6,5,1,0.20158803,,,,
6,6,1,0.20054965,,,,
6,7,1,0.19114318,,,,
7,0,1,0.61794123,,,,
7,1,1,0.62098790,,,,
7,2,1,0.62222904,,,,
7,3,1,0.61420827,,,,
7,4,1,0.62789982,,,,
7,5,1,0.61895958,,,,
7,6,1,0.61374348,,,,
7,7,1,0.61253776,,,,
